"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3355088";"";"0";"740.09";"2";"2.63";"LP24";"CCCCCCCCCCCCCCCCCC(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(N)=O";"MIC";"'='";"7.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL3379725";"Antibacterial activity against clinical isolates of Escherichia coli PGI/DML02250 after overnight incubation by microdilution broth assay";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL3352151";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2014";"None";""
"CHEMBL529";"AZITHROMYCIN";"4";"749.00";"2";"1.90";"Azithromycin";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O";"MIC";"'='";"20.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL673725";"The compound was tested in vitro for antibacterial activity against Escherichia coli 250 UCS";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1131863";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None";""
"CHEMBL3352888";"";"0";"456.54";"0";"4.93";"9";"CCc1oc(OC)c(Cc2c(O)c3c(c(C(=O)[C@@H](C)CC)c2O)OC(C)(C)C=C3)c(=O)c1C";"MIC";"'>'";"128000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3380831";"Antimicrobial activity against Escherichia coli ATCC 35218 after 24 hrs by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL3351231";"1";"Scientific Literature";"J. Nat. Prod.";"2015";"None";""
"CHEMBL15461";"";"0";"379.82";"0";"2.63";"1h-2";"CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1";"MIC";"'='";"0.025";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL674330";"Antibacterial activity was determined against gram negative organism, Escherichia coli vogel";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1125826";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None";""
"CHEMBL194126";"";"0";"449.55";"2";"-3.98";"Gentamycin";"CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O";"MIC";"'='";"1.625";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4383992";"Antibacterial activity against Escherichia coli ATCC 11229 after 24 hrs by broth dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4382229";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4469341";"";"0";"1520.80";"None";"None";"12";"CCCCCCCC(=O)N[C@@H](C(=O)N[C@H](CCN)C(=O)N(C)CC(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCN)C(=O)N[C@H](CCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)C)C(C)C";"MIC";"'>'";"50.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4323706";"Antibacterial activity against Escherichia coli NCTC 12241 assessed as bacterial growth inhibition by microbroth dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4321830";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4542327";"";"0";"419.44";"0";"1.64";"24d";"O=C(O)c1cn(C2CC2)c2c(cc(F)c3nn(CN4CCOCC4)c(=S)n32)c1=O";"MIC";"'='";"0.125";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4349370";"Antibacterial activity against multi drug-resistant Escherichia coli";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4346717";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL9";"NORFLOXACIN";"4";"319.34";"0";"1.27";"Norfloxacin";"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21";"MIC";"'='";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4354120";"Antibacterial activity against Escherichia coli ATCC 25922 assessed as reduction in bacterial cell viability incubated for 24 hrs by two fold serial dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4351006";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4441931";"";"0";"444.54";"0";"2.84";"10a";"CCn1cc(-c2csc(N)n2)c(=O)c2cc(F)c(N3CCN(C/C(C)=N/O)CC3)cc21";"MIC";"'='";"72000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4354121";"Antibacterial activity against Escherichia coli assessed as reduction in bacterial cell viability incubated for 24 hrs by two fold serial dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4351006";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4227262";"";"0";"391.45";"0";"3.39";"17f";"CN(C)C1=NC(c2ccc3cc(OCc4ccccc4F)ccc3c2)N=C(N)N1";"MIC";"'='";"4.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL4222879";"Antibacterial activity against Escherichia coli 1924 after 24 hrs by two-fold serial dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL4219177";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";""
